id,energy,valence,danceability
4ytv5Yzyal3LzKyMjRXjse,0.59,0.212,0.46
3JbE6e17yvNdPggjPDrCyO,0.777,0.481,0.488
4gkoh2vAD57fGEITzteaUh,0.357,0.0388,0.489
6wGMLoEqD2k3RBXFHD0yUp,0.598,0.866,0.588
1uVk6S6Fpkrmji0iTpgKEC,0.121,0.0926,0.3670000000000001
1MwGbyzRmPXWABLIdW8tzG,0.669,0.414,0.387
0efOqjQkOgWPEZTzAZSB6j,0.373,0.123,0.575
5aFSzu0b7ccAYjTkbTNTsQ,0.446,0.213,0.383
7nC2EOpMnpDT2DkvniimSm,0.1,0.0676,0.389
5QlL4Rxjw3MQbx8Xvs75ts,0.591,0.303,0.448
4IMBnBRqm9RALmLrRqfMor,0.561,0.541,0.48
0ACACkoHUwgfgY5CxVIL4N,0.565,0.6920000000000001,0.693
0n2X57zaddr0ODIxUb64Sx,0.469,0.316,0.632
534nbCFk48DR1UQt2XlxSx,0.0145,0.5489999999999999,0.517
1iTzI4NSQNLIETWDJ1WNWi,0.875,0.156,0.15
5drK2kTE2mrUdV33iHWyrx,0.8440000000000001,0.155,0.465
56oqWZUaA8ZmHQCH3lCRI3,0.882,0.0653,0.5870000000000001
3RlwtjeKhemCfiPvwMFozS,0.154,0.0799,0.435
4iVWQTuwKG4JKtGOjx6T9V,0.521,0.148,0.49
6vxHp3CDNo0afgKGp2yi1E,0.816,0.7979999999999999,0.626
3SdkYA8frHe3BMZsPVPrRq,0.0283,0.119,0.369
4BntWROKZB5E0Y0K3LoHSQ,0.0838,0.0404,0.211
3bN4tg6rnNPy9GCkGhym4T,0.8079999999999999,0.8690000000000001,0.5770000000000001
6qTP59Amjny78Qd8zayuNW,0.98,0.179,0.614
11oVQ68B4PnVQHIY6svpXg,0.183,0.057,0.221
4sYNRSlV9pGInYcbsC18Jz,0.0185,0.147,0.312
3EQPb4sdkNPCHb6AMyUTXj,0.00643,0.16,0.6920000000000001
5Z8onMr6EW2eNDamrDoWi5,0.254,0.0909,0.244
5pTWpY8l7B1XcQnijEFGFj,0.71,0.845,0.795
5FXnCOAkMUAf4QIS56MRQL,0.0781,0.0796,0.522
7Ln0DgKSrDG0ALbtNwGeml,0.248,0.138,0.636
1EyctTkkGJVS3UYTuy8YZM,0.0595,0.0898,0.435
6CKu6K0xvozAgFlQq44Z56,0.217,0.0647,0.491
24PDuLZfLOKtAgh4axr36e,0.163,0.0501,0.449
0zNqfg3MpUGku4T6h2Pmab,0.3229999999999999,0.436,0.424
4ZYFWXoHCIdsdgUdOMK9fr,0.362,0.0964,0.0903
2RlgNHKcydI9sayD2Df2xp,0.338,0.477,0.388
